Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
11095,1491853094.9929630756,-0.007800
11830,1491853097.0322721004,0.016400
11566,1491853096.2990429401,0.026600
12838,1491853099.8303470612,0.072700
12511,1491853098.9227581024,-0.083800
13351,1491853101.2526679039,0.073600



Gyro Y
S_i,S_t,S_x
394,1491853065.3180060387,-0.097700
843,1491853066.5652389526,0.060800
924,1491853066.7903380394,-0.092800
1335,1491853067.9237489700,0.072300
1431,1491853068.1888680458,-0.094400
1802,1491853069.2171878815,0.073300
1809,1491853069.2365450859,0.002300
2838,1491853072.0910871029,0.087200
2396,1491853070.8652999401,-0.081100
3297,1491853073.3648910522,0.083600
2897,1491853072.2544839382,-0.095000
3803,1491853074.7676210403,0.095100
3278,1491853073.3121159077,0.017800
4251,1491853076.0097680092,0.093900
3846,1491853074.8867208958,-0.089100
4734,1491853077.3492159843,0.063500
4321,1491853076.2039229870,-0.091200
5246,1491853078.7697250843,0.097300
4800,1491853077.5318300724,-0.090200
6186,1491853081.3730120659,0.095200
5196,1491853078.6306829453,-0.045300
6648,1491853082.6552860737,0.097200
5772,1491853080.2264258862,-0.082000
7086,1491853083.8713879585,0.061600
6255,1491853081.5638411045,-0.098800
7596,1491853085.2830440998,0.076400
6607,1491853082.5424840450,-0.054500
8049,1491853086.5371150970,0.098000
7148,1491853084.0433320999,-0.095500
8528,1491853087.8655929565,0.076000
7542,1491853085.1341979504,-0.021000
9021,1491853089.2322208881,0.082800
8022,1491853086.4621210098,0.008400
9494,1491853090.5510969162,0.072300
8500,1491853087.7878940105,-0.054000
9961,1491853091.8455140591,0.077500
9093,1491853089.4365839958,-0.096500
10433,1491853093.1539220810,0.098600
9552,1491853090.7125890255,-0.095500
10877,1491853094.3863439560,0.093400
10050,1491853092.0911440849,-0.097700
11385,1491853095.7963650227,0.095600
10409,1491853093.0873179436,-0.061900
11863,1491853097.1236970425,0.055900
10976,1491853094.6631319523,-0.089900
12345,1491853098.4613409042,0.097400
11459,1491853096.0016849041,-0.096900
13004,1491853100.2911350727,0.035100



Gyro Z
S_i,S_t,S_x
768,1491853066.3569691181,0.084500
1010,1491853067.0285489559,-0.063600
1260,1491853067.7160060406,0.083500
1506,1491853068.3962121010,-0.039200
1765,1491853069.1148989201,0.084400
2000,1491853069.7668449879,-0.064200
2254,1491853070.4717450142,0.082900
2489,1491853071.1235990524,-0.074900
2751,1491853071.8503990173,0.099500
2982,1491853072.4908559322,-0.096400
3234,1491853073.1901919842,0.089200
3465,1491853073.8303489685,-0.039900
3709,1491853074.5064489841,0.082700
3936,1491853075.1365170479,-0.079900
4176,1491853075.8017349243,0.091700
