Accel X
P_i,P_t,P_x,T_i,T_t,T_p
3274,1492035358.6726839542,0.452400,2929,1492035357.7160520554,-0.453000
3556,1492035359.4553439617,0.474100,3196,1492035358.4572219849,-0.428800
3835,1492035360.2274749279,0.270700,3475,1492035359.2296719551,-0.392900
4109,1492035360.9869461060,0.570800,3761,1492035360.0219879150,-0.392600
4384,1492035361.7503960133,0.486300,4035,1492035360.7815260887,-0.438300
4644,1492035362.4706680775,0.420000,4310,1492035361.5449988842,-0.418300
4933,1492035363.2727749348,0.445400,4581,1492035362.2955529690,-0.442100
5207,1492035364.0333681107,0.499500,4855,1492035363.0558640957,-0.431200
5458,1492035364.7324440479,0.237900,5140,1492035363.8470280170,-0.466200
5762,1492035365.5757091045,0.323900,5414,1492035364.6101140976,-0.455600
6022,1492035366.2963221073,0.214300,5685,1492035365.3622820377,-0.430100
6319,1492035367.1194400787,0.603900,5971,1492035366.1541550159,-0.439100
6579,1492035367.8396570683,0.254000,6252,1492035366.9339179993,-0.490500
6854,1492035368.6113250256,0.247300,6531,1492035367.7066259384,-0.440300
7147,1492035369.4248940945,0.402600,6806,1492035368.4776740074,-0.462800
7426,1492035370.1982719898,0.708300,7081,1492035369.2413070202,-0.472900
7681,1492035370.9061069489,0.222000,7355,1492035370.0012989044,-0.517700
7985,1492035371.7493050098,0.425000,7633,1492035370.7739090919,-0.464900
8264,1492035372.5235130787,0.420700,7911,1492035371.5441060066,-0.445300
,,,8193,1492035372.3265519142,-0.466500
,,,8482,1492035373.1284360886,-0.402800



Gyro Z
P_i,P_t,P_x,T_i,T_t,T_p
481,1492035350.9259529114,0.425800,685,1492035351.4913189411,-0.650000
770,1492035351.7271749973,0.802000,967,1492035352.2738449574,-0.722400
1052,1492035352.5097570419,0.917800,1245,1492035353.0456850529,-0.659800
1330,1492035353.2816669941,0.870400,1530,1492035353.8373548985,-0.717700
1607,1492035354.0517930984,0.876700,1808,1492035354.6091940403,-0.693500
1885,1492035354.8236711025,0.804600,2082,1492035355.3697369099,-0.673800
2168,1492035355.6060180664,0.937400,2372,1492035356.1716520786,-0.744900
2446,1492035356.3769390583,0.907300,2640,1492035356.9145541191,-0.757300
2725,1492035357.1499528885,0.904900,2918,1492035357.6853339672,-0.710300
2999,1492035357.9100430012,0.884300,3199,1492035358.4656291008,-0.711000
3274,1492035358.6726839542,0.916700,3467,1492035359.2080860138,-0.743100
3552,1492035359.4441339970,0.720900,3749,1492035359.9883100986,-0.760900
3831,1492035360.2163701057,0.756200,4028,1492035360.7618999481,-0.710200
4106,1492035360.9785449505,0.949300,4298,1492035361.5114879608,-0.732400
4380,1492035361.7396569252,0.905300,4577,1492035362.2842969894,-0.707000
4651,1492035362.4899079800,0.928600,4847,1492035363.0337150097,-0.698500
4929,1492035363.2619850636,0.815600,5126,1492035363.8081779480,-0.798000
5207,1492035364.0333681107,0.864800,5395,1492035364.5568430424,-0.786700
