Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
523,1492035487.2386500835,0.005500
687,1492035487.6938409805,-0.035600
834,1492035488.1016941071,-0.064300
961,1492035488.4545500278,0.056300
1108,1492035488.8642349243,-0.084400
1225,1492035489.1958870888,-0.054700
1331,1492035489.4901010990,-0.004800
1548,1492035490.0920369625,0.083900
1595,1492035490.2231340408,-0.024200
1752,1492035490.6579549313,-0.047200
2017,1492035491.3941030502,-0.076700
2085,1492035491.5826659203,0.081700
2262,1492035492.0730960369,0.089800
2300,1492035492.1784958839,0.004900
2522,1492035492.7944281101,0.054000
2567,1492035492.9198310375,0.019700
2845,1492035493.6908450127,-0.094600
2927,1492035493.9179630280,-0.030000
3052,1492035494.2656788826,0.067300
3268,1492035494.8645730019,-0.089100
3334,1492035495.0483880043,0.018600
3506,1492035495.5251650810,0.049300
3645,1492035495.9112238884,0.034600
3714,1492035496.1620759964,-0.098000
3898,1492035496.6729109287,0.021300
4052,1492035497.0990459919,-0.062000
4125,1492035497.3018910885,0.078000
4263,1492035497.6847949028,0.055000
4436,1492035498.1645510197,-0.070100
4529,1492035498.4223539829,-0.093800
4659,1492035498.7826869488,0.098900
4816,1492035499.2186970711,0.025900
4907,1492035499.4710059166,0.056700
5079,1492035499.9486730099,-0.068800
5082,1492035499.9570820332,-0.068800
5357,1492035500.7194259167,0.041500
5360,1492035500.7278349400,0.041500
5629,1492035501.4704740047,0.004300
5632,1492035501.4784750938,0.004300
5904,1492035502.2325479984,-0.017400
5911,1492035502.2512879372,0.094400
6257,1492035503.2110710144,-0.090400
6319,1492035503.3827929497,0.095100
6368,1492035503.5184791088,-0.079000



Gyro Y
S_i,S_t,S_x
315,1492035486.6611819267,-0.064500
572,1492035487.3750391006,0.087200
593,1492035487.4331901073,-0.090000
850,1492035488.1464250088,0.089700
864,1492035488.1850810051,-0.042400
1116,1492035488.8865840435,0.078100
1131,1492035488.9357700348,-0.077600
1392,1492035489.6592180729,0.080400
1409,1492035489.7065079212,-0.073000
1655,1492035490.3896660805,0.056700
1673,1492035490.4390020370,-0.085200
2021,1492035491.4052979946,0.003300
1932,1492035491.1583790779,-0.083200
2360,1492035492.3449659348,0.068400
2199,1492035491.8989679813,-0.078000
2582,1492035492.9609251022,-0.071100
2459,1492035492.6192259789,-0.099100
2845,1492035493.6908450127,-0.042100
2718,1492035493.3385319710,-0.050700
3112,1492035494.4325680733,0.037100
2993,1492035494.1010959148,-0.078300
3361,1492035495.1228220463,-0.032300
3267,1492035494.8617711067,-0.080400
3680,1492035496.0685260296,0.065800
3523,1492035495.5725378990,-0.039400
3903,1492035496.6866059303,-0.050600
3772,1492035496.3225059509,-0.062800
4147,1492035497.3626699448,0.072600
4051,1492035497.0962440968,-0.082300
4448,1492035498.1981759071,0.052200
4321,1492035497.8452808857,-0.056500
4723,1492035498.9605538845,0.019800
4607,1492035498.6385629177,-0.088400
4993,1492035499.7100760937,-0.064100
4866,1492035499.3573420048,-0.079100
