Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
5238,1492035500.3888640404,0.088700
5134,1492035500.1006801128,-0.059400
5543,1492035501.2335178852,0.089200
5413,1492035500.8722798824,-0.061500
5804,1492035501.9551999569,0.010300
5684,1492035501.6226630211,-0.036800
6135,1492035502.8712561131,0.094500
5970,1492035502.4144279957,-0.082400
6364,1492035503.5073730946,0.069200



Gyro Z
S_i,S_t,S_x
304,1492035486.6303000450,-0.064200
464,1492035487.0747420788,0.096100
578,1492035487.3911650181,-0.059500
724,1492035487.7967820168,0.074000
849,1492035488.1437509060,-0.090500
1009,1492035488.5880479813,0.052700
1115,1492035488.8837959766,-0.029200
1258,1492035489.2879669666,0.037300
1391,1492035489.6565520763,-0.099900
1544,1492035490.0806679726,0.081200
1654,1492035490.3868699074,-0.032700
1810,1492035490.8197751045,0.060700
1909,1492035491.0944819450,-0.063000
2048,1492035491.4797720909,-0.075600
2180,1492035491.8461749554,-0.058700
2315,1492035492.2200689316,0.099900
2444,1492035492.5775859356,-0.011700
2578,1492035492.9497001171,0.066800
2703,1492035493.2969470024,-0.045800
2845,1492035493.6908450127,0.019200
2974,1492035494.0487670898,-0.019000
3116,1492035494.4436531067,0.045800
3241,1492035494.7901299000,-0.068800
3383,1492035495.1840820312,0.074600
3515,1492035495.5505590439,-0.008500
3653,1492035495.9332380295,-0.039500
3761,1492035496.2921600342,-0.041700
3903,1492035496.6866059303,-0.008400
4032,1492035497.0433189869,-0.004200
4174,1492035497.4376449585,-0.026700
4306,1492035497.8039760590,0.010700
4444,1492035498.1869509220,0.019000
4581,1492035498.5665509701,0.022200
4719,1492035498.9492309093,0.094400
4855,1492035499.3268799782,-0.098700
4993,1492035499.7100760937,-0.058400
5126,1492035500.0787210464,-0.035000
5264,1492035500.4612920284,-0.037200
5401,1492035500.8397879601,-0.051500
5543,1492035501.2335178852,-0.066400
5672,1492035501.5898509026,-0.053000
5837,1492035502.0465760231,0.083100
5951,1492035502.3619940281,-0.061600
6119,1492035502.8273000717,0.082200
6233,1492035503.1438350677,-0.012800
6371,1492035503.5268859863,-0.015700



