Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
1559,1492035426.2530410290,-0.006500
1794,1492035426.9045190811,0.074000
1882,1492035427.1482079029,0.031900
1998,1492035427.4688971043,0.057500
2105,1492035427.7664010525,0.099400
2332,1492035428.3967039585,0.057900
2370,1492035428.5064499378,0.071900
2604,1492035429.1568179131,0.082600
2637,1492035429.2484529018,0.089400
2804,1492035429.7121579647,0.066500
3078,1492035430.4723539352,-0.092700
3164,1492035430.7109010220,0.093500
3323,1492035431.1503551006,0.040900
3361,1492035431.2555680275,0.018900
3579,1492035431.8598260880,0.073900
3628,1492035431.9953539371,0.074400
3903,1492035432.7561089993,-0.043000
3997,1492035433.0174679756,-0.067800
4174,1492035433.5079159737,0.011700
4260,1492035433.7465279102,-0.034500
4426,1492035434.2061719894,-0.071000
4524,1492035434.4780380726,0.028100
4653,1492035434.8353939056,0.088100
4795,1492035435.2285339832,-0.090600
4968,1492035435.7073109150,0.046900
5066,1492035435.9796159267,0.059200
5239,1492035436.4596428871,-0.054500
5337,1492035436.7317531109,0.008100
5469,1492035437.0994598866,0.047500
5681,1492035437.6863911152,-0.076200
5793,1492035437.9941840172,0.096200
5890,1492035438.2634480000,-0.023600
6063,1492035438.7436668873,0.023100
6172,1492035439.0468490124,0.006900
6330,1492035439.4851820469,0.008100
6342,1492035439.5186169147,-0.054700



Gyro Y
S_i,S_t,S_x
632,1492035423.6810319424,0.022200
663,1492035423.7666258812,0.068100
818,1492035424.1964869499,-0.094300
907,1492035424.4432709217,0.012800
1088,1492035424.9470100403,-0.078000
1207,1492035425.2764360905,-0.063100
1362,1492035425.7063128948,-0.053300
1486,1492035426.0503199100,0.015800
1633,1492035426.4586820602,-0.060500
1760,1492035426.8103189468,-0.099700
1912,1492035427.2310910225,-0.077000
2005,1492035427.4885060787,-0.037500
2171,1492035427.9492869377,-0.064000
2298,1492035428.3023419380,0.046400
2444,1492035428.7121109962,-0.073900
2571,1492035429.0648379326,0.080100
2725,1492035429.4927539825,-0.096600
2845,1492035429.8254940510,0.045100
2992,1492035430.2347540855,-0.084300
3101,1492035430.5371880531,0.030300
3275,1492035431.0170791149,-0.097000
3384,1492035431.3191819191,-0.024600
3535,1492035431.7383000851,-0.091500
3684,1492035432.1510360241,0.092200
3792,1492035432.4474499226,-0.068200
3907,1492035432.7673189640,0.025800
4055,1492035433.1781919003,-0.087800
4152,1492035433.4467389584,-0.009500
4311,1492035433.8881599903,-0.055600
4438,1492035434.2397539616,-0.053300
4586,1492035434.6498479843,-0.095900
4713,1492035435.0013179779,-0.009300
4849,1492035435.3782091141,-0.065000
4995,1492035435.7828218937,0.096100
5117,1492035436.1210250854,-0.067600
5207,1492035436.3706638813,0.054700
5402,1492035436.9133350849,-0.069700
5521,1492035437.2434830666,-0.070000
5676,1492035437.6726779938,-0.087200
5759,1492035437.9012129307,0.066400
5945,1492035438.4161090851,-0.093800
6045,1492035438.6939499378,-0.038700
6226,1492035439.1961700916,-0.096600
6353,1492035439.5491759777,0.091200



Gyro Z
S_i,S_t,S_x
246,1492035422.6092510223,-0.070000
407,1492035423.0565130711,0.073100
513,1492035423.3504700661,-0.051000
659,1492035423.7555909157,0.015000
795,1492035424.1331479549,-0.053600
956,1492035424.5791230202,0.062800
1069,1492035424.8930320740,-0.076800
1211,1492035425.2872989178,-0.090700
1344,1492035425.6562840939,-0.060900
1482,1492035426.0390729904,-0.017900
1618,1492035426.4169239998,-0.051800
1757,1492035426.8019089699,0.015700
1893,1492035427.1782350540,-0.098400
2031,1492035427.5606520176,-0.062100
2156,1492035427.9077069759,-0.056600
2331,1492035428.3940279484,0.098800
2429,1492035428.6704649925,-0.047900
2567,1492035429.0538680553,-0.040600
2699,1492035429.4205350876,-0.013100
2845,1492035429.8254940510,0.033800
2973,1492035430.1818599701,0.000300
3108,1492035430.5561220646,0.064200
3241,1492035430.9235439301,-0.033300
3380,1492035431.3083860874,0.004600
3509,1492035431.6658821106,0.001100
3647,1492035432.0482831001,-0.074700
3780,1492035432.4152081013,-0.099200
3911,1492035432.7781610489,-0.018000
4040,1492035433.1361200809,-0.044700
4174,1492035433.5079159737,0.024400
4300,1492035433.8572759628,-0.082100
4438,1492035434.2397539616,0.016500
4567,1492035434.5969660282,-0.002000
4709,1492035434.9904971123,-0.087800
4838,1492035435.3477509022,-0.005900
4977,1492035435.7326900959,-0.055800
5109,1492035436.0990500450,-0.025800
5247,1492035436.4816629887,-0.075200
5380,1492035436.8512670994,-0.036600
5517,1492035437.2326269150,0.023700
5654,1492035437.6114408970,-0.029500
5793,1492035437.9941840172,0.017800
5930,1492035438.3743169308,-0.024800
6071,1492035438.7658329010,-0.034900
6211,1492035439.1543240547,-0.020900
6360,1492035439.5684449673,0.033800



