Accel X
P_i,P_t,P_x,T_i,T_t,T_p
2642,1492035173.6445660591,0.519000,2565,1492035173.4301280975,-0.374900
2924,1492035174.4264769554,0.419700,2850,1492035174.2210359573,-0.372500
3184,1492035175.1474699974,0.209800,3132,1492035175.0035519600,-0.419200
3466,1492035175.9297389984,0.213600,3414,1492035175.7848529816,-0.388800
3744,1492035176.7008221149,0.259500,3692,1492035176.5563859940,-0.416800
4048,1492035177.5441820621,0.537000,3970,1492035177.3282439709,-0.423800
4300,1492035178.2430379391,0.184800,4252,1492035178.1101300716,-0.390800
4579,1492035179.0156619549,0.173500,4531,1492035178.8824748993,-0.409700
4883,1492035179.8602929115,0.445100,4805,1492035179.6435830593,-0.408300
5164,1492035180.6403129101,0.460600,5087,1492035180.4263420105,-0.425500
5450,1492035181.4346299171,0.500900,5376,1492035181.2289850712,-0.468700
5728,1492035182.2042460442,0.534800,5654,1492035181.9995369911,-0.402900
5984,1492035182.9139699936,0.222800,5936,1492035182.7810769081,-0.432900
6285,1492035183.7490611076,0.465700,6214,1492035183.5522389412,-0.431200
6559,1492035184.5097529888,0.414600,6485,1492035184.3038570881,-0.473800
6840,1492035185.2904279232,0.476000,6766,1492035185.0853590965,-0.448600
7096,1492035186.0009570122,0.224600,7044,1492035185.8566520214,-0.482900
7398,1492035186.8451728821,0.398400,7321,1492035186.6307280064,-0.499200
7654,1492035187.5553309917,0.223100,7606,1492035187.4221858978,-0.479800
7954,1492035188.3899350166,0.529400,7883,1492035188.1922841072,-0.493300
8235,1492035189.1719560623,0.469100,8164,1492035188.9740889072,-0.471800
8512,1492035189.9414579868,0.357700,8438,1492035189.7361090183,-0.460200
,,,8727,1492035190.5384280682,-0.399300



Gyro Z
P_i,P_t,P_x,T_i,T_t,T_p
948,1492035168.9429199696,0.730600,859,1492035168.6956970692,-0.647200
1227,1492035169.7150468826,0.773800,1152,1492035169.5073280334,-0.664800
1512,1492035170.5055980682,0.849000,1431,1492035170.2810940742,-0.694200
1801,1492035171.3089389801,0.753800,1716,1492035171.0719270706,-0.723000
2079,1492035172.0798299313,0.907000,1997,1492035171.8528530598,-0.645300
2361,1492035172.8632259369,0.894900,2272,1492035172.6163940430,-0.685700
2642,1492035173.6445660591,0.838600,2557,1492035173.4085700512,-0.722800
2920,1492035174.4152529240,0.883800,2835,1492035174.1796929836,-0.702000
3202,1492035175.1970429420,0.886700,3120,1492035174.9702870846,-0.723100
3488,1492035175.9903230667,0.932400,3410,1492035175.7738759518,-0.706800
3766,1492035176.7617061138,0.912200,3684,1492035176.5342779160,-0.751200
4044,1492035177.5332870483,0.939400,3959,1492035177.2977359295,-0.685200
4322,1492035178.3043711185,0.957400,4245,1492035178.0905139446,-0.708400
4601,1492035179.0768690109,0.897100,4523,1492035178.8605370522,-0.707100
4879,1492035179.8495819569,0.796000,4797,1492035179.6213181019,-0.706200
5164,1492035180.6403129101,0.882000,5083,1492035180.4153430462,-0.669200
5446,1492035181.4233720303,0.899200,5368,1492035181.2074561119,-0.681300
5724,1492035182.1928989887,0.886600,5643,1492035181.9692571163,-0.692800
6003,1492035182.9668409824,0.868100,5925,1492035182.7504990101,-0.731800
6285,1492035183.7490611076,0.881400,6199,1492035183.5102579594,-0.739100
6559,1492035184.5097529888,0.835700,6478,1492035184.2842030525,-0.787700
6840,1492035185.2904279232,0.756700,6755,1492035185.0546610355,-0.734200
7118,1492035186.0622060299,0.858900,7037,1492035185.8369569778,-0.730800
7394,1492035186.8339059353,0.894000,7320,1492035186.6279189587,-0.717800
7672,1492035187.6053750515,0.820900,7594,1492035187.3889510632,-0.753100
7953,1492035188.3871290684,0.901600,7868,1492035188.1506381035,-0.728100
8231,1492035189.1610620022,0.924400,8149,1492035188.9323070049,-0.735700
8508,1492035189.9303069115,0.813200,8427,1492035189.7054829597,-0.786900
8798,1492035190.7340240479,0.756200,8735,1492035190.5606379509,-0.631700



