Accel X
P_i,P_t,P_x,T_i,T_t,T_p
10946,1491852999.1898529530,0.074775,10869,1491852998.9758460522,-0.117000
11869,1491853001.7417960167,0.078675,11422,1491853000.5065100193,-0.128850
12414,1491853003.2532598972,0.070350,11988,1491853002.0719110966,-0.127500
12600,1491853003.7692389488,0.064950,12511,1491853003.5228118896,-0.099825
13464,1491853006.1676619053,0.061950,13056,1491853005.0346910954,-0.116550
14020,1491853007.7107460499,0.078000,13616,1491853006.5892100334,-0.105150
14569,1491853009.2337360382,0.070950,14153,1491853008.0794370174,-0.106650
15095,1491853010.6928899288,0.085050,14661,1491853009.4887208939,-0.126150
15622,1491853012.1557469368,0.094725,15191,1491853010.9599740505,-0.132000
16155,1491853013.6363780499,0.105675,15722,1491853012.4337570667,-0.108525
16705,1491853015.1596179008,0.077325,16262,1491853013.9326159954,-0.157125
17283,1491853016.7652239799,0.101025,16805,1491853015.4373190403,-0.115575
,,,17423,1491853017.1543951035,-0.084675



Gyro Z
P_i,P_t,P_x,T_i,T_t,T_p
993,1491852971.5543730259,0.286800,1123,1491852971.9138259888,-0.268425
1635,1491852973.3327031136,0.347175,1754,1491852973.6645150185,-0.325800
2217,1491852974.9501700401,0.341400,2336,1491852975.2798988819,-0.318900
2802,1491852976.5750770569,0.368700,2939,1491852976.9558200836,-0.312450
3366,1491852978.1399219036,0.370875,3466,1491852978.4179689884,-0.313575
3951,1491852979.7656900883,0.336375,4062,1491852980.0743899345,-0.321225
4514,1491852981.3295090199,0.370950,4595,1491852981.5545620918,-0.348900
5065,1491852982.8612980843,0.365925,5184,1491852983.1910219193,-0.291900
5647,1491852984.4767448902,0.358650,5732,1491852984.7128679752,-0.338700
6217,1491852986.0600180626,0.361500,6340,1491852986.4009840488,-0.337650
6785,1491852987.6357469559,0.362475,6870,1491852987.8717520237,-0.344025
7348,1491852989.1991410255,0.352725,7470,1491852989.5379331112,-0.296325
7933,1491852990.8241000175,0.317700,8071,1491852991.2069749832,-0.323100
8516,1491852992.4414970875,0.340725,8653,1491852992.8211319447,-0.336825
9084,1491852994.0155730247,0.334650,9217,1491852994.3849389553,-0.334725
9648,1491852995.5797228813,0.341250,9752,1491852995.8681900501,-0.332025
10186,1491852997.0712139606,0.362475,10316,1491852997.4307870865,-0.323775
10731,1491852998.5836520195,0.349725,10831,1491852998.8712608814,-0.340725
11285,1491853000.1266200542,0.330975,11389,1491853000.4148530960,-0.341250
11858,1491853001.7113759518,0.370650,11988,1491853002.0719110966,-0.376350
12392,1491853003.1919820309,0.401175,12496,1491853003.4811348915,-0.348150
12926,1491853004.6736979485,0.379500,13041,1491853004.9925038815,-0.358125
13463,1491853006.1648609638,0.355200,13553,1491853006.4142880440,-0.332625
14008,1491853007.6778841019,0.365175,14135,1491853008.0293610096,-0.353700
14238,1491853008.3152871132,0.326550,14639,1491853009.4279360771,-0.353625
14542,1491853009.1590828896,0.354525,15158,1491853010.8679358959,-0.346425
15069,1491853010.6207358837,0.368025,15703,1491853012.3808848858,-0.359325
15606,1491853012.1123170853,0.378150,16237,1491853013.8635270596,-0.356100
16147,1491853013.6145129204,0.364650,16805,1491853015.4373190403,-0.327600
16686,1491853015.1069090366,0.353325,17338,1491853016.9177460670,-0.317625
17264,1491853016.7124578953,0.342825,,,



