Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
4910,1492035363.2068080902,-0.283600
6318,1492035367.1142189503,-0.380700
4938,1492035363.2840700150,-0.207000
6604,1492035367.9064300060,-0.252400
5451,1492035364.7108929157,-0.284700
7115,1492035369.3334779739,-0.231400
5737,1492035365.5042419434,-0.225300
7429,1492035370.2042400837,-0.265700
6023,1492035366.2966918945,-0.357000
7951,1492035371.6523320675,-0.216100
6295,1492035367.0508320332,-0.383100
8265,1492035372.5238900185,-0.225500
6581,1492035367.8428449631,-0.377300
6857,1492035368.6173040867,-0.278600
7128,1492035369.3694589138,-0.313100
7407,1492035370.1433899403,-0.322400
7671,1492035370.8759601116,-0.249800
7964,1492035371.6888139248,-0.322200
8239,1492035372.4517660141,-0.228700
8517,1492035373.2231218815,-0.245800



Gyro X
S_i,S_t,S_x
462,1492035350.8730831146,-0.054100
627,1492035351.3303289413,0.018900
755,1492035351.6856238842,-0.042900
912,1492035352.1210970879,0.051400
919,1492035352.1408190727,-0.061000
1135,1492035352.7394928932,0.041000
1182,1492035352.8704888821,-0.086900
1427,1492035353.5515649319,0.021400
1463,1492035353.6516649723,-0.010500
1653,1492035354.1790289879,0.079900
1700,1492035354.3092000484,-0.075500
1938,1492035354.9706480503,0.059300
2019,1492035355.1948258877,-0.020100
2151,1492035355.5593979359,-0.031100
2391,1492035356.2243289948,-0.053100
2429,1492035356.3297479153,0.028700
2580,1492035356.7480878830,0.024200
2700,1492035357.0810029507,0.034700
2859,1492035357.5219159126,-0.083100
2978,1492035357.8519289494,0.038000
3256,1492035358.6226410866,-0.063400
3319,1492035358.7982480526,0.097700
3541,1492035359.4134039879,-0.077300
3602,1492035359.5822401047,0.085900
3794,1492035360.1135239601,0.071400
3835,1492035360.2274749279,-0.018400
4102,1492035360.9673500061,-0.078100
4151,1492035361.1031820774,0.076000
4343,1492035361.6368479729,0.092400
4384,1492035361.7503960133,-0.048700
4603,1492035362.3569149971,0.068500
4652,1492035362.4927620888,0.090400
4933,1492035363.2727749348,-0.088100
5101,1492035363.7389559746,-0.065600
5170,1492035363.9304559231,0.069200
5382,1492035364.5206420422,-0.068700
5425,1492035364.6402230263,0.077600
5660,1492035365.2924759388,-0.077100
5718,1492035365.4537649155,0.078100
6034,1492035366.3297469616,-0.040100
6041,1492035366.3489079475,-0.078600
6495,1492035367.6068489552,-0.069000
6312,1492035367.0997951031,-0.033100
6710,1492035368.2112360001,-0.035300
6550,1492035367.7592089176,0.093900
6985,1492035368.9749100208,0.024500
6877,1492035368.6748859882,-0.028900
7319,1492035369.9016909599,-0.090400
7151,1492035369.4361200333,0.053600
7593,1492035370.6629149914,-0.084600
7426,1492035370.1982719898,-0.053000
7871,1492035371.4332969189,-0.091100
7663,1492035370.8559300900,0.018600
8157,1492035372.2265338898,-0.038600
7945,1492035371.6384260654,0.070000
8450,1492035373.0400259495,-0.071900
8223,1492035372.4097208977,0.035800
8450,1492035373.0400259495,-0.071900



Gyro Y
