Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
6005,1492035182.9700310230,-0.254900
5424,1492035181.3599109650,-0.343600
7082,1492035185.9596889019,-0.211800
5704,1492035182.1348340511,-0.332600
7082,1492035185.9596889019,-0.211800
6011,1492035182.9868550301,-0.254900
7673,1492035187.6057510376,-0.260100
6539,1492035184.4517080784,-0.247300
7915,1492035188.2788949013,-0.207500
6817,1492035185.2248530388,-0.267300
8193,1492035189.0529429913,-0.283800
7096,1492035185.9985349178,-0.269100
8478,1492035189.8444819450,-0.218600
7372,1492035186.7701539993,-0.201000
7401,1492035186.8509778976,-0.233600
7936,1492035188.3373339176,-0.257200
8206,1492035189.0889379978,-0.258700
8513,1492035189.9418270588,-0.216900



Gyro X
S_i,S_t,S_x
733,1492035168.3457129002,0.041200
1008,1492035169.1096940041,0.074000
944,1492035168.9317018986,0.085300
1217,1492035169.6872339249,0.019200
1182,1492035169.5902819633,0.099200
1502,1492035170.4777030945,0.043500
1461,1492035170.3639020920,0.079500
1843,1492035171.4256720543,0.095000
1757,1492035171.1868319511,0.075500
2073,1492035172.0634739399,-0.081800
2024,1492035171.9274780750,0.099500
2365,1492035172.8744399548,-0.094800
2313,1492035172.7301259041,0.057600
2680,1492035173.7498590946,0.090800
2602,1492035173.5330979824,0.095900
2922,1492035174.4208679199,-0.021800
2880,1492035174.3040759563,0.043500
3195,1492035175.1774799824,0.076600
3165,1492035175.0944890976,0.092700
3389,1492035175.7153799534,-0.066100
3447,1492035175.8769290447,0.041100
3759,1492035176.7423369884,-0.026700
3763,1492035176.7532920837,-0.057700
4234,1492035178.0606091022,-0.094400
4048,1492035177.5441820621,-0.034100
4435,1492035178.6180651188,-0.065200
4282,1492035178.1935210228,0.028600
4799,1492035179.6269280910,-0.086300
4568,1492035178.9850680828,0.085100
5036,1492035180.2845098972,-0.077600
4883,1492035179.8602929115,-0.085700
5332,1492035181.1071100235,-0.074200
5227,1492035180.8155989647,0.093400
5603,1492035181.8578870296,-0.099000
5450,1492035181.4346299171,-0.065300
6052,1492035183.1029911041,0.091000
5684,1492035182.0820930004,0.010000
6275,1492035183.7214078903,-0.008400
5996,1492035182.9476370811,0.055500
6608,1492035184.6461400986,0.068100
6240,1492035183.6240479946,0.058000
6886,1492035185.4182701111,0.077500
6552,1492035184.4901270866,-0.058300
7112,1492035186.0454740524,0.016500
6837,1492035185.2819709778,0.018900
7387,1492035186.8142719269,0.018500
7082,1492035185.9620220661,0.095400
7577,1492035187.3417339325,-0.052100
7398,1492035186.8451728821,0.067900
7796,1492035187.9502179623,0.034100
7639,1492035187.5143189430,-0.004400
8066,1492035188.7012369633,-0.084000
7917,1492035188.2869019508,0.065900
8436,1492035189.7307670116,-0.093100
8235,1492035189.1719560623,-0.052200
8691,1492035190.4380350113,-0.090200
8468,1492035189.8193030357,0.036200
8806,1492035190.7561199665,-0.057400
8787,1492035190.7038888931,0.020700
8806,1492035190.7561199665,-0.057400



Gyro Y
