Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x



Gyro Y
S_i,S_t,S_x
286,1491853222.1380569935,-0.094125
606,1491853223.0239000320,0.083175
676,1491853223.2170441151,-0.068325
965,1491853224.0223169327,0.042675
946,1491853223.9692680836,-0.000975
1358,1491853225.1131310463,0.090450
1131,1491853224.4830670357,0.059775
1721,1491853226.1207559109,0.088575
1398,1491853225.2241139412,-0.084825
2204,1491853227.4598960876,0.085275
1754,1491853226.2119340897,-0.085125
2396,1491853227.9930009842,0.092100
2106,1491853227.1879858971,-0.094875
2749,1491853228.9704849720,0.062775
2381,1491853227.9513230324,-0.016425
3105,1491853229.9576931000,0.091050
2556,1491853228.4353749752,-0.004575
3641,1491853231.4429850578,-0.032925
2819,1491853229.1649959087,-0.092475
4007,1491853232.4593191147,-0.047250
3179,1491853230.1628448963,-0.089100
4348,1491853233.4057140350,0.044850
3524,1491853231.1189129353,-0.098325
4548,1491853233.9596800804,0.098400
3914,1491853232.2006969452,-0.083775
5084,1491853235.4432830811,0.000150
4247,1491853233.1256051064,-0.087600
5280,1491853235.9871881008,0.019050
4529,1491853233.9072310925,-0.019500
5671,1491853237.0701830387,0.084525
4990,1491853235.1828310490,-0.091125
6042,1491853238.0991969109,0.090375
5354,1491853236.1923360825,-0.078675
6420,1491853239.1475629807,0.089025



Gyro Z
S_i,S_t,S_x
263,1491853222.0747520924,-0.080100
621,1491853223.0646750927,-0.016275
628,1491853223.0839428902,-0.089850
980,1491853224.0634489059,0.030900
987,1491853224.0827550888,-0.083550
1339,1491853225.0602889061,0.021900
1346,1491853225.0796549320,-0.066975
1699,1491853226.0595130920,0.039825
1705,1491853226.0763471127,-0.063600
1892,1491853226.5952670574,0.087675
2065,1491853227.0745239258,-0.084225
2241,1491853227.5627920628,0.081300
2340,1491853227.8372499943,0.093750
2530,1491853228.3637440205,-0.051450
2689,1491853228.8041980267,0.089775
2890,1491853229.3624279499,-0.009975
3045,1491853229.7909960747,0.083025
3247,1491853230.3511130810,-0.062550
3268,1491853230.4094009399,0.095100
3607,1491853231.3490090370,-0.001875
3406,1491853230.7909770012,0.089100
3970,1491853232.3561990261,-0.058275
3769,1491853231.7980790138,0.089925
4326,1491853233.3444490433,-0.019650
4125,1491853232.7872619629,0.095775
4690,1491853234.3533020020,-0.009000
4485,1491853233.7853989601,0.087375
5051,1491853235.3516058922,-0.059175
4849,1491853234.7939400673,0.076275
5417,1491853236.3684511185,-0.081300
5224,1491853235.8321859837,0.097575
5782,1491853237.3778789043,-0.045075
5577,1491853236.8103859425,0.088500
6153,1491853238.4074070454,-0.022350
5803,1491853237.4363510609,0.090225
6539,1491853239.4759869576,-0.059175
5948,1491853237.8383140564,0.091275
6539,1491853239.4759869576,-0.059175
6319,1491853238.8677229881,0.088500
6539,1491853239.4759869576,-0.059175
6412,1491853239.1252830029,-0.098475
6614,1491853239.6828670502,0.057750



