Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
1990,1492035724.2051000595,0.001900
2217,1492035724.8346819878,0.098100
2224,1492035724.8543210030,0.072000
2436,1492035725.4436409473,-0.087300
2472,1492035725.5438549519,0.089300
2658,1492035726.0591289997,0.004300
2668,1492035726.0867168903,-0.013500
2962,1492035726.9039731026,0.095600
2983,1492035726.9623019695,0.007600
3218,1492035727.6145589352,0.088600
3243,1492035727.6838688850,0.020800
3432,1492035728.2086770535,-0.060700
3431,1492035728.2060050964,-0.060700
3700,1492035728.9519560337,0.079400
3655,1492035728.8263399601,-0.080300
3952,1492035729.6503069401,0.073300
3881,1492035729.4529459476,0.048800
4175,1492035730.2690870762,-0.096100
4163,1492035730.2356090546,0.043000
4452,1492035731.0419869423,0.072500
4401,1492035730.8941628933,-0.082800
4648,1492035731.5845639706,0.036100
4651,1492035731.5929598808,0.038800
4934,1492035732.3777170181,0.059900



Gyro Y
S_i,S_t,S_x
376,1492035719.7278161049,-0.083400
634,1492035720.4431719780,0.028200
636,1492035720.4487791061,0.028200
845,1492035721.0296769142,0.079200
870,1492035721.0989019871,-0.094800
1082,1492035721.6882829666,0.070600
1111,1492035721.7660670280,-0.040500
1464,1492035722.7454569340,0.048100
1352,1492035722.4341540337,-0.098400
1698,1492035723.3941268921,-0.009600
1597,1492035723.1135089397,0.009600
1947,1492035724.0856330395,0.085000
1834,1492035723.7716948986,-0.070500
2180,1492035724.7321650982,0.017900
2079,1492035724.4521920681,-0.059700
2476,1492035725.5550749302,0.060300
2324,1492035725.1311690807,-0.094100
2692,1492035726.1536591053,-0.042600
2576,1492035725.8319480419,-0.097700
2936,1492035726.8321230412,-0.026700
2824,1492035726.5206708908,-0.037100
3188,1492035727.5311229229,-0.058200
3076,1492035727.2206289768,-0.035300
3436,1492035728.2198669910,0.036500
3324,1492035727.9092099667,-0.083900
3685,1492035728.9100461006,0.091000
3562,1492035728.5673789978,-0.029700
3938,1492035729.6110200882,0.064500
3818,1492035729.2785620689,-0.048100
4190,1492035730.3099470139,-0.001600
4059,1492035729.9473490715,-0.074800
4433,1492035730.9894220829,0.097800
4315,1492035730.6567430496,-0.014600
4686,1492035731.6897339821,0.039600
4573,1492035731.3763220310,-0.095400
4968,1492035732.4716389179,0.042000



Gyro Z
S_i,S_t,S_x
361,1492035719.6860969067,-0.011900
511,1492035720.1021850109,0.055000
610,1492035720.3763461113,-0.074500
737,1492035720.7294249535,0.046200
847,1492035721.0350370407,-0.016200
974,1492035721.3873469830,0.036900
1084,1492035721.6937229633,0.030900
1220,1492035722.0683519840,0.046100
1334,1492035722.3843319416,-0.063000
1472,1492035722.7670860291,0.034900
1575,1492035723.0527999401,-0.019600
1709,1492035723.4245500565,0.006300
1812,1492035723.7110860348,-0.055100
1928,1492035724.0328469276,-0.071000
2060,1492035724.3994610310,-0.030400
2172,1492035724.7101221085,0.071200
2305,1492035725.0784320831,-0.067600
2458,1492035725.5049350262,0.090100
2553,1492035725.7681109905,-0.026800
2695,1492035726.1616780758,-0.014300
2805,1492035726.4677169323,-0.039900
2936,1492035726.8321230412,0.003400
